hashtag_final,n
kadınakalkanellerkırılsın,11
kadınlarbirliktegüçlü,11
katilinpartisiolmaz,11
kemalizmsapıklıktır,11
koronavirüs,11
muratovuc,11
müslümannoelkutlamaz,11
ortadayönetimyok,11
oyununfarkındayız,11
seldatas,11
sol,11
sosyalmedyamadokunma,11
survivor2022allstar,11
womensupportingwomen,11
yasauydurmayın,11
yasdem,11
yenihayat2sezon,11
yeniyıl,11
youtuber,11
ziyaselçukladevam,11
özürdilekemal,11
öğrenci,11
üniversitedenatılıyoruzhaftanın,11
şiddetidurdur,11
aklınızdanbilegecirmeyin,10
akpsiztürkiyeyiözledik,10
anahaber,10
araba,10
ayşetubaarslan,10
azragulendamhaytaoglu,10
bilmesekdeolur,10
bodrumageldik,10
cerenozdemir,10
chpdetecavüz,10
chpningerçekyüzü,10
duymuyorlar,10
gerginimçünkü,10
insan,10
navtex,10
otogaz,10
oyiçinkapımagelmesakın,10
sevgililergunu,10
sinavdayokuz,10
survivor,10
tahliye,10
xiaomidezafer,10
öğrencilerölmekistemiyor,10
üniversite,10
14subat,9
8m2022,9
akp,9
baba,9
bursahaberleri,9
busonolsun,9
cezaevi,9
chpdesessizlik,9
coronavirus,9
cuma,9
devletbabadır,9
duaseferberliği,9
durdurmakiçin,9
ekgyo,9
evli,9
hazaltektaş,9
hercai,9
istanbulsoezlesmesisart,9
kadınasiddetesessizkalma,9
kadınaşiddeteenağırceza,9
kadınkatliamlarıpolitiktir,9
kadınlarölmesin,9
kadınyaşamakister,9
kaza,9
kemaltürkler,9
keşif,9
memur,9
merveyeşiltaş,9
munevverkarabulut,9
muratövünç,9
musaorhantutuklansin,9
nadirayaneoldu,9
nedensusuyorsunkemal,9
needforspeed,9
neredennereye,9
onyedi,9
paragündem,9
reisnederseo,9
sanalgazeteci,9
sosyal,9
sosyalmedya,9
sosyalmedyayasası,9
sueleymangirgin,9
tutuklama,9
tuğbakeles,9
tuğbakeleş,9
undercover,9
unutma,9
volkanuzunsapıktır,9
yanlızdeğilsin,9
yesimsalkım,9
yeşilgazete,9
üniversitedenatılıyoruz,9
14subatdenilince,8
22kasımdaeylemdeyiz,8
25kasımkadınasiddetehayır,8
alanyaspor,8
anne,8
aylinsoezer,8
biontech,8
cemal,8
cenaze,8
ceren,8
ceydayüksel,8
covıd19,8
diyarbakıranneleri,8
enflasyon,8
fethisekin,8
fikrinizbozuk,8
findynews,8
gsvbjk,8
gulistandokunerede,8
gülistandokubulunsun,8
güncelhaberler,8
hakim,8
haluklevent,8
haticetusu,8
hatırlamakiçin,8
hurriyet,8
intihar,8
ismailkılınçkatledildi,8
istanbulkar,8
italya,8
iyiparti,8
jurnalci,8
kabine,8
kabuletmiyoruzvazgeçmiyoruz,8
kadincinayetleri,8
kadirşeker,8
kadıncinayetlerinehayır,8
kadındayanışmasıyaşatır,8
kadınlarbirleşiniz,8
kadınyaşamdır,8
katilzanlısı,8
medya,8
milletvekili,8
news,8
onlineeğitimsart,8
otomobil,8
receptayyiperdogan,8
reymir,8
sakaryamokuyor,8
sansüryasasınadurde,8
sessizkalma,8
showtv,8
sueleymansoylu,8
sözünbittiğiyer,8
tbmm,8
tecavüzehayır,8
tomrisuyar,8
twittercapkınları,8
valentinesday2022,8
varil,8
zaynalıkimkoruyor,8
çilemdoğan,8
ölmekistemiyorum,8
özsavunmahaktır,8
öğrenciaffı,8
8m2021,7
8martdunyaemekcikadinlargunu,7
aleynacakir,7
atatürküsevmiyorum,7
ayşepaşalı,7
bagimsizhaber,7
bizkemalistiz,7
bombagazete,7
bıçakkemiğidelipgeçti,7
ceset,7
chpnepartisi,7
chpyalanları,7
cüce,7
dersimkadınplatformu,7
değerdeniz,7
dokuz8,7
dolartl,7
durusma,7
duyguicinsusma,7
ek40binebayrammüjdesi,7
esnafındurumu,7
eğitimdentasarrufolmaz,7
fenerbahce,7
fenerbahçe,7
feyzayaneoldu,7
gamzeyesesol,7
göreceğizçarşambanolacağını,7
gülistanıistiyoruz,7
haberdairesi,7
haberinkalemi,7
hatayspor,7
hayırlıhaftalar,7
hristiyanaözenme,7
itiraf,7
kadinlargunu,7
kadirşekeriçintahliye,7
kadınasiddeteson,7
kadınatacizehayır,7
kadınavahşetehayır,7
kadıncinayetlerinidurdurun,7
kadınlaradokunma,7
karaparaaşk,7
kayseri,7
leyla,7
milletbıktı,7
mskü,7
muratövüç,7
nadirakadirovayaneoldu,7
oetvsizotomobil,7
polisiminyanındayım,7
protestoediyorum,7
savcı,7
sevtapşahin,7
taciz,7
tarkan,7
tecavüzyalançıktı,7
trump,7
tubabüyüküstün,7
usdtry,7
vanhaber,7
vanhaberleri,7
yumurta,7
yıldıztilbehaddinibil,7
ösym,7
özgecanarslan,7
şeymayıldız,7
60yıllıközlemsonaerdi,6
6284yaşatır,6
abd,6
alevinet,6
arapca,6
arkasokaklar,6
basbelası,6
beton,6
beşiktaşınmaçıvar,6
boyuneğmeyeceğiz,6
boşanma,6
briket,6
canli,6
canselbuse,6
chemtrailstehlikesi,6
covid_19,6
direksiyon,6
dogecoin,6
dünyanınyerelhabercisi,6
eceuner,6
emineyekimtecavüzetti,6
garasehitleri,6
gülistandanvazgeçmiyoruz,6
haftanınyalanları,6
hamdiyeşık,6
herseyezammaasayok,6
hürriyet,6
ibb,6
idamgerigelsin,6
istanbulsözleşemesiyaşatır,6
jandarma,6
jurnalist,6
kadinasiddet,6
kadınlarımız,6
kepez,6
konya,6
korkuyorum,6
kürt,6
kılıçdaroğlu,6
libya,6
maradona,6
marmaris,6
melekipekderhalserbestbırakılsın,6
mertcanavci,6
mervebolugur,6
metincemalavcı,6
müebbet,6
netflix,6
ogrencineguveniticu,6
okadınbenim,6
olayyeri,6
otopsi,6
pazartesisendromu,6
reformicraatdeğişim,6
ripple,6
ronaldo,6
ruhumsıkıldı,6
savcılık,6
sebnemsirin,6
sistemlisoygun,6
sülünosmaniktidarı,6
tarafsız,6
türkulus,6
ultraslan,6
yalnızdeğilsinbizvarız,6
yaşamhak,6
yaşasınfeministmücadelemiz,6
yeşimsalkım,6
zanlı,6
zincirlemekaza,6
çocuk,6
ölmekistemiyoruz,6
ümitcanuyguntutuklansın,6
şevvalsam,6
10kasım,5
12nisancılartutuklansın,5
18monthsmyass,5
5ocaktasokaktayız,5
75milyonsmalicocuklaragitsin,5
8mart2021,5
8martduenyakadinlarguenue,5
a3haber,5
adlarıaklımızda,5
adli,5
adliye,5
akdefterkapansın,5
aleynaçakıraneoldu,5
arzum,5
aslayalnızyürümeyeceksin,5
aydın,5
aytaçkara,5
açlıkgrevi,5
baharö,5
bar,5
barbarossansal,5
baskentte,5
belediye,5
bensözcüokumuyorum,5
besiktas,5
binance,5
boupendza,5
boğaziçirektörseçimiistiyor,5
boğazınkartalı,5
bursatv,5
canataklı,5
cocukistismarinahayir,5
cumhurbaskanıerdoğan,5
cumhurbaşkanı,5
damlahorozbulunsun,5
demet,5
diyarbakir,5
doctorstrange,5
dokuz8video,5
dueruestoltransfermarkt,5
durde,5
duyguicinsesver,5
egitimdentasarrufolmaz,5
ekmeleddin,5
elazığ,5
elmalıdavası,5
elneny,5
elsavador,5
emniyet,5
erkeklerimiz,5
eurusd,5
fatiherbakan,5
geceyenotum,5
gecmisinizinde,5
gelişme,5
gulistandoku,5
güldünyatören,5
gülistandokuiçinsesver,5
gülistandokuyaneoldu,5
haberturk,5
hacettepe,5
hakancalhanoğlu,5
hdpkadınmeclisi,5
hdpliyizheryerdeyiz,5
hdpsaldırı,5
hemensecim,5
hevesbırakmadınız,5
hoştfikohoşt,5
iddaa,5
iddia,5
iett,5
ikranur,5
imrali,5
inat,5
insanhakları,5
insanlık,5
islam,5
istanbulsoezlesmesiuygulanmalıdır,5
istismar,5
iyigeceler,5
kabineonlineeğitimistiyoruz,5
kadergökçe,5
kadirtopbas,5
kadınatacizedurde,5
kadınterörünehayır,5
kadınşiddetinehayır,5
katilyalnızdeğilbiliyoruz,5
kayıp,5
kdvindirimi,5
kemalunsaltutuklansin,5
keşfet,5
korkusuz,5
kötekli,5
melekipek,5
meralakşener,5
mhp,5
migros,5
muglahaber,5
mutlukaya,5
orangetheworld,5
ordu,5
pervinbuldan,5
receptayyiperdoğan,5
reformhaber,5
ruyayayardimedin,5
saglıkbakanıfahrettinkoca,5
soruşturma,5
sosyaltv,5
squıd,5
sumudica,5
superbowl,5
survivor2021,5
sözleşmeyiduy,5
takiyyecichp,5
tamdemokrasi,5
tecrit,5
tehdit,5
tekstildegelecekvar,5
turkiye,5
türkiyeninnabzı,5
xu100,5
yagmur,5
yavuzagiraliogluseninleyiz,5
yavuzbingöl,5
yaşasıninsanlık,5
zainalabakarovyargılansın,5
ziraatbankası,5
ziyaselcuk,5
çocuklarımız,5
ölüm,5
şimdiözgürlükzamanı,5
şulecet,5
100binsilahnerede,4
14şubat,4
24temmuz,4
6284üuygula,4
75milyonlirayla,4
acı,4
adambaşı6700tl,4
adanademirspor,4
adlitıp,4
afyon,4
akar,4
akit,4
akpsiztuerkiyeyioezledik,4
alex,4
allahınsonsuzkudreti,4
aramamotoru,4
arkadaş,4
asayis,4
bendekürdüm,4
beratalbayrakistifaetti,4
berkinelvan,4
beylikduzu,4
biamag,4
birkadındahaölmesin,4
birselayabakar,4
bizseniz,4
bmyfc,4
bueyuekselcuklular,4
bulundu,4
bursahaber,4
camdakikız,4
can,4
ceoem,4
cerenoezdemir,4
chpdecinselsaldırı,4
chpdetacizeörtbas,4
chpnedensessiz,4
cinayeti,4
cinselistismarahayır,4
conor,4
cumhurbaskani,4
dahaiyibiryaşamiçin,4
denizli,4
deryaaslan,4
diawara,4
dilankaratas,4
dilankarataş,4
dilekdoğan,4
dmdfarkındalıkgünü,4
dolar20tl,4
düzce,4
eceuener,4
edaavcı,4
ekremimamoğlu,4
eminekarabulut,4
emineyanıkoğlu,4
entkadın,4
erkekşiddeti,4
erkensecimzaruridir,4
erzincan,4
erzurum,4
eskişehir,4
esrahankulu,4
eytlilerhaykırıyor,4
fbvsgs,4
femicide,4
gazete,4
gazeteciliksucdegildir,4
gazeteciliksuçdeğildir,4
gaziosmanpaşa,4
girgin,4
gsvbarca,4
gulistandokuyasahipcık,4
gölbaşışehirgeçişi,4
gönülgökçe,4
gündenkalan,4
haberankara,4
haftasonu,4
hakkımıhelaletmiyorum,4
hamideyiğiter,4
hapis,4
hayvanhaklarıyasası,4
hayırlıcumalar,4
hazaltektas,4
hdp,4
heran,4
heykeldegilyardımyap,4
iddianame,4
il,4
jennıe,4
kabuletmiyoruzvazgecmiyoruz,4
kadincinayetlerineson,4
kadirseker,4
kadirsekericinberaat,4
kadınadokunma,4
kadınaşidettehayır,4
kadınlarölüyor,4
kadınolmak,4
kadınınadıyok,4
kahramantürkkadını,4
kamera,4
katliam,4
kayıt,4
kazaraask,4
komşu,4
krt,4
kumluca,4
kurban,4
kürtajhaktır,4
leylaaydemir,4
lovesickgirls,4
manşet,4
maskekimsinsen,4
masterchefturkiye,4
mekkeninfethi,4
melisa,4
milas,4
milletbıktısizden,4
milletittifakı,4
minikleyla,4
mordayanışma,4
mortabutlar,4
mugeanliyalnizdegildir,4
muratpaşa,4
mustafakemalataturk,4
neslihanbatur,4
neymar,4
nilguenmarmara,4
ocakmedya,4
oesym,4
olay,4
olumlubirhaber,4
ordumuzdenekdeğil,4
otopsiyiteslimet,4
pazartesi̇,4
penceretv,4
pendik,4
politika,4
rabianazvatan,4
rabiatümkaya,4
reddihakim,4
russiaucraina,4
salemhamdi,4
samsun,4
semaaslan,4
seninleyizerdoğan,4
sevvalsam,4
sma,4
suleymangirgin,4
suleçet,4
susmam,4
susmayacağız,4
sözleşmeyiuygulaşiddetidurdur,4
süheylayılmaz,4
tarafsızbölge,4
tecavüzcüchp,4
tekstil,4
tele1inyanındayız,4
telefon,4
tepki,4
tiktok,4
tugcecelik,4
ucankustv,4
ugurmumcu,4
umitcanuyguntutuklansin,4
vazgeçmiyoruz,4
vicdan,4
yargıtay,4
yazıklarolsun,4
yaşam,4
yemebiziakp,4
yemlee,4
yeni,4
yenigelişme,4
zekiyeof,4
çocuksusarsensusma,4
çocuğu,4
öldürensevgiistemiyoruz,4
şahsiyet,4
şanlıurfa,4
şüpheli,4
τουρκια,4
10ekim,3
11nisan,3
34añosdehistoria,3
3sayfa,3
50m2,3
5aralıkdünyakadınhaklarıgünü,3
6284sayılıkanun,3
6284uygulansın,3
6eyluelsoykırımı,3
8martdunyakadınlargünü,3
adlitıpraporu,3
afyonkarahisar,3
ahlak,3
aklınızdanbilegeçirmeyin,3
akpsiztuerkiyeistiyoruz,3
akılçemberi,3
alaturkaonline,3
aligülertutuklansın,3
allahbelanızıversın,3
allahısonsuzkudreti,3
alperenduymaz,3
annesinin,3
arakarar,3
arzuaygün,3
arzukol,3
asgariucret,3
avcıailesi,3
avcıailesiyargılansın,3
ayasofyadacumanamazı,3
ayasofyadailkcuma,3
aybükepusat,3
aydin,3
aylinalkutay,3
azraguelendam,3
azragulendam,3
bacımabaret,3
bahar,3
baharözcan,3
barismuratyagci,3
basgz,3
basınbayramı,3
bayrak,3
başkan,3
bensunarlı,3
berlin,3
betültuğluk,3
beşiktaş,3
biblia,3
birkezolsunsesver,3
bitmeli,3
bitsinartık,3
bizkadirşekeriz,3
bnb,3
borsaıstanbul,3
boşnak,3
breakingnewsturkey,3
bugünbirdahaöldük,3
bugündeölmedimyasen,3
burakaykultutuklasın,3
büyükselçuklular,3
caycıhueseyin,3
cemilmetinavci,3
cemilmetinavcı,3
cerenkultaş,3
cernobil,3
challangeaccepted,3
chp117gündürnedensessiz,3
chpdenitiraflar,3
chpli,3
cilemdoğanaoezguerluek,3
cocuksusarsensusma,3
crypto,3
cumhurbaşkanıerdoğan,3
cübbeli,3
cübbeliahmet,3
dahaadilbirdünyamümkün,3
dalaman,3
datça,3
davası,3
davasında,3
demetevgar,3
derttaşmıştalepaltmış,3
detay,3
dilekkaya,3
diyanet,3
diyanetkapatılsın,3
dolar18tl,3
dolu,3
donnerstag,3
doğrutercih,3
doğruyoldasın,3
durdurmakmümkün,3
duyguicingizlilikkalksın,3
duyguicinsonses,3
duygusuziftira,3
edanur,3
edanurkaplan,3
edemedim,3
edser,3
elite,3
emektarucretliogretmenekadro,3
eneskara,3
epözdemir,3
erkek,3
ertelendi,3
erzurumkongresi,3
esraerol,3
esraerolkapatılsın,3
ev,3
evdeveyakampüste,3
eylem,3
faturayayueksekgelmesindiye,3
feminist,3
fethiye,3
fetönünsiyasiayağıchp,3
flash,3
fransa,3
freeporçay,3
futbol,3
fıratyılmazcakıroğlu,3
gabaryanıyor,3
gaffarokkan,3
galaxys22,3
gamzeesgicioğlu,3
gayda,3
geceyebirsözbırak,3
geliyorgelmekteolan,3
genctvkibris,3
gençsinöndeyürü,3
gezi,3
gunaydın,3
görüşme,3
gülistansız1yıl,3
günakşamda,3
gündemhaberleri,3
günortası,3
gününkarikatürü,3
haberbuadreste,3
haberizle,3
haddinibilersoydede,3
hastane,3
hatay,3
hatırlayacağız,3
hayat,3
haytap,3
hazalsubaşı,3
hdpdetecavüz,3
hdpkadın,3
helaletmiyorum,3
hepbirlikteartıkyeterdiyoruz,3
hilafetistiyoruz,3
hizmet,3
hiçbirkadınölmesin,3
hsk,3
hts,3
hukukhaberleri,3
ibrahimtatlıses,3
idamıgetirtecavüzcüyübitir,3
idamşart,3
ihbar,3
isarıyorum,3
istanbulsoezlesmesindenvazgecmiyoruz,3
istanbulsoezlesmesiniuygula,3
istifa,3
itiraz,3
iyibayramlar,3
iyidiyorsunda,3
işkence,3
jesus,3
kabuletmiyoruz,3
kadergüneş,3
kadinaşiddetehayır,3
kadininfenni,3
kadininfenniekibi,3
kadinlargunukutluolsun,3
kadinlaryasamakistiyor,3
kadinolmak,3
kadınasiddetetepkisizkalma,3
kadınaşiddetsonbulsun,3
kadınkatliamınason,3
kadınlarölüyorsusma,3
kadınlarıdeğilkatillerinidurdurun,3
kadınlarınarabasıaudirs6,3
kadınmücadelesiengellenemez,3
kadınşiddeti,3
kanun,3
karaman,3
karamandanhaber,3
karamangündemi,3
karamanhaber,3
karar,3
kararara,3
katledilenkadınlarisyanımızdır,3
kavun,3
kemalkılıçdaroğlu,3
kibrisgenctv,3
kocaeli,3
konyadakarbereketi,3
kykyurt,3
küfürsüzhayatmümkün,3
kısas,3
kısastahayatvar,3
kısastahayatvardır,3
kız,3
kızımı,3
lanetolsunboeyleduezene,3
larin,3
lgbt,3
lisebjk,3
magazinsortie,3
mahkum,3
maliyebakani,3
maskeniçıkar,3
maç,3
mehmetözer,3
melek,3
melekaslan,3
melekgürler,3
mercanavcı,3
merkezi,3
merveaslan,3
mervekonukoğlu,3
metin,3
metinlokumcu,3
mhpkapatılsın,3
mhpmillettir,3
milliyasilanedilsin,3
mkperker,3
moda,3
morgündem,3
mudahale,3
muegeanlıiletatlısert,3
muesluemannoelkutlamaz,3
mutasyon,3
muğlaadliyesi,3
nafaka,3
naylon,3
nazmiyekoyuncu,3
neleroluyorhayatta,3
nurdanbudak,3
nurhayatbeytekin,3
nurtaçcanan,3
objektifpress,3
okullaraçılıyor,3
onurtuna,3
operasyon,3
ozgecan,3
oğuzardasel,3
pakistan,3
paramızlaeylemyapıyoruz,3
park,3
pcrbitersepandemibitern,3
picemiyeti,3
polismudahalesi,3
profecias,3
protesto,3
pubg,3
rapor,3
rezaletesusma,3
rezan,3
ricardoclaurepeñaloza,3
rize,3
ruyaninsesiol,3
ruyayadestekol,3
rüşvettacizelele,3
sagopakajmer,3
sakarya,3
salvarelalmahastadelultimohombre,3
samsunhaber,3
samsunspor,3
sanasöz,3
sanemkafalı,3
sanık,3
saray,3
saygı,3
sağlıkbakanıfahrettinkoca,3
sedakuzucu,3
sedefkabas,3
